Adjusted for Inflation Title,Adjusted for Inflation Notes,Year Date,Format Value # (Billion),Format Value # (Million),Adjusted for Inflation Flag,Total Value For Year,Value (For Charting),Format,Metric,Number of Records,Year,Value (Actual),Total Value # (Billion),Total Value # (Million),Year (copy)
,,1990,,$172.3M,,$374490.0B,172.3,Music Video (Physical),Value,1,1990,172.3,$374.5B,,1990
,,1991,,$118.1M,,$374490.0B,118.1,Music Video (Physical),Value,1,1991,118.1,$374.5B,,1991
,,1992,,$157.4M,,$374490.0B,157.4,Music Video (Physical),Value,1,1992,157.4,$374.5B,,1992
,,1993,,$213.3M,,$374490.0B,213.3,Music Video (Physical),Value,1,1993,213.3,$374.5B,,1993
,,1994,,$231.1M,,$374490.0B,231.1,Music Video (Physical),Value,1,1994,231.1,$374.5B,,1994
,,1995,,$220.3M,,$374490.0B,220.3,Music Video (Physical),Value,1,1995,220.3,$374.5B,,1995
,,1996,,$236.1M,,$374490.0B,236.1,Music Video (Physical),Value,1,1996,236.1,$374.5B,,1996
,,1997,,$323.9M,,$374490.0B,323.9,Music Video (Physical),Value,1,1997,323.9,$374.5B,,1997
,,1998,,$508.0M,,$374490.0B,508,Music Video (Physical),Value,1,1998,508,$374.5B,,1998
,,1999,,$376.7M,,$374490.0B,376.7,Music Video (Physical),Value,1,1999,376.7,$374.5B,,1999
,,2000,,$281.9M,,$374490.0B,281.9,Music Video (Physical),Value,1,2000,281.9,$374.5B,,2000
,,2001,,$329.2M,,$374490.0B,329.2,Music Video (Physical),Value,1,2001,329.2,$374.5B,,2001
,,2002,,$288.4M,,$374490.0B,288.4,Music Video (Physical),Value,1,2002,288.4,$374.5B,,2002
,,2003,,$399.9M,,$374490.0B,399.9,Music Video (Physical),Value,1,2003,399.9,$374.5B,,2003
,,2004,,$607.2M,,$374490.0B,607.2,Music Video (Physical),Value,1,2004,607.2,$374.5B,,2004
,,2005,,$602.2M,,$374490.0B,602.2,Music Video (Physical),Value,1,2005,602.2,$374.5B,,2005
,,2006,,$451.1M,,$374490.0B,451.1,Music Video (Physical),Value,1,2006,451.1,$374.5B,,2006
,,2007,,$484.9M,,$374490.0B,484.9,Music Video (Physical),Value,1,2007,484.9,$374.5B,,2007
,,2008,,$227.3M,,$374490.0B,227.3,Music Video (Physical),Value,1,2008,227.3,$374.5B,,2008
,,2009,,$209.6M,,$374490.0B,209.6,Music Video (Physical),Value,1,2009,209.6,$374.5B,,2009
,,2010,,$177.6M,,$374490.0B,177.6,Music Video (Physical),Value,1,2010,177.6,$374.5B,,2010
,,2011,,$151.0M,,$374490.0B,151,Music Video (Physical),Value,1,2011,151,$374.5B,,2011
,,2012,,$116.6M,,$374490.0B,116.613654602,Music Video (Physical),Value,1,2012,116.613654602,$374.5B,,2012
,,2013,,$106.3M,,$374490.0B,106.283137789,Music Video (Physical),Value,1,2013,106.283137789,$374.5B,,2013
,,2014,,$89.7M,,$374490.0B,89.705579875,Music Video (Physical),Value,1,2014,89.705579875,$374.5B,,2014
,,2015,,$70.4M,,$374490.0B,70.434363958,Music Video (Physical),Value,1,2015,70.434363958,$374.5B,,2015
,,2016,,$56.9M,,$374490.0B,56.922902813,Music Video (Physical),Value,1,2016,56.922902813,$374.5B,,2016
,,2017,,$38.6M,,$374490.0B,38.619446998,Music Video (Physical),Value,1,2017,38.619446998,$374.5B,,2017
,,2018,,$27.6M,,$374490.0B,27.561260298,Music Video (Physical),Value,1,2018,27.561260298,$374.5B,,2018
,,2019,,$27.7M,,$374490.0B,27.705246783,Music Video (Physical),Value,1,2019,27.705246783,$374.5B,,2019
,,2011,,$113.8M,,$374490.0B,113.8,On-Demand Streaming (Ad-Supported),Value,1,2011,113.8,$374.5B,,2011
,,2012,,$170.9M,,$374490.0B,170.935408437,On-Demand Streaming (Ad-Supported),Value,1,2012,170.935408437,$374.5B,,2012
,,2013,,$220.9M,,$374490.0B,220.873544491,On-Demand Streaming (Ad-Supported),Value,1,2013,220.873544491,$374.5B,,2013
,,2014,,$283.8M,,$374490.0B,283.793409371,On-Demand Streaming (Ad-Supported),Value,1,2014,283.793409371,$374.5B,,2014
,,2015,,$372.0M,,$374490.0B,371.990396399,On-Demand Streaming (Ad-Supported),Value,1,2015,371.990396399,$374.5B,,2015
,,2016,,$489.4M,,$374490.0B,489.377607589,On-Demand Streaming (Ad-Supported),Value,1,2016,489.377607589,$374.5B,,2016
,,2017,,$658.6M,,$374490.0B,658.606492600,On-Demand Streaming (Ad-Supported),Value,1,2017,658.606492600,$374.5B,,2017
,,2018,,$759.5M,,$374490.0B,759.532368153,On-Demand Streaming (Ad-Supported),Value,1,2018,759.532368153,$374.5B,,2018
,,2019,,$908.1M,,$374490.0B,908.149330523,On-Demand Streaming (Ad-Supported),Value,1,2019,908.149330523,$374.5B,,2019
,,2016,,$81.3M,,$374490.0B,81.260865617,Other Ad-Supported Streaming,Value,1,2016,81.260865617,$374.5B,,2016
,,2017,,$261.8M,,$374490.0B,261.786858952,Other Ad-Supported Streaming,Value,1,2017,261.786858952,$374.5B,,2017
,,2018,,$251.4M,,$374490.0B,251.411918813,Other Ad-Supported Streaming,Value,1,2018,251.411918813,$374.5B,,2018
,,2019,,$251.1M,,$374490.0B,251.064710118,Other Ad-Supported Streaming,Value,1,2019,251.064710118,$374.5B,,2019
,,2016,,$17.1M,,$374490.0B,17.141662871,Other Digital,Value,1,2016,17.141662871,$374.5B,,2016
,,2017,,$16.9M,,$374490.0B,16.885109868,Other Digital,Value,1,2017,16.885109868,$374.5B,,2017
,,2018,,$19.8M,,$374490.0B,19.839574865,Other Digital,Value,1,2018,19.839574865,$374.5B,,2018
,,2019,,$21.5M,,$374490.0B,21.517175006,Other Digital,Value,1,2019,21.517175006,$374.5B,,2019
,,1973,,$15.6M,,$374490.0B,15.6,Other Tapes,Value,1,1973,15.6,$374.5B,,1973
,,1974,,$13.3M,,$374490.0B,13.3,Other Tapes,Value,1,1974,13.3,$374.5B,,1974
,,1975,,$10.2M,,$374490.0B,10.2,Other Tapes,Value,1,1975,10.2,$374.5B,,1975
,,1976,,$5.1M,,$374490.0B,5.1,Other Tapes,Value,1,1976,5.1,$374.5B,,1976
,,2005,,$149.2M,,$374490.0B,149.2,Paid Subscription,Value,1,2005,149.2,$374.5B,,2005
,,2006,,$206.2M,,$374490.0B,206.2,Paid Subscription,Value,1,2006,206.2,$374.5B,,2006
,,2007,,$234.0M,,$374490.0B,234,Paid Subscription,Value,1,2007,234,$374.5B,,2007
,,2008,,$221.4M,,$374490.0B,221.4,Paid Subscription,Value,1,2008,221.4,$374.5B,,2008
,,2009,,$206.2M,,$374490.0B,206.2,Paid Subscription,Value,1,2009,206.2,$374.5B,,2009
,,2010,,$212.4M,,$374490.0B,212.4,Paid Subscription,Value,1,2010,212.4,$374.5B,,2010
,,2011,,$247.8M,,$374490.0B,247.8,Paid Subscription,Value,1,2011,247.8,$374.5B,,2011
,,2012,,$399.9M,,$374490.0B,399.882531090,Paid Subscription,Value,1,2012,399.882531090,$374.5B,,2012
,,2013,,$643.3M,,$374490.0B,643.324288756,Paid Subscription,Value,1,2013,643.324288756,$374.5B,,2013
,,2014,,$770.3M,,$374490.0B,770.270559124,Paid Subscription,Value,1,2014,770.270559124,$374.5B,,2014
,,2015,$1.2B,,,$374490.0B,1156.708513551,Paid Subscription,Value,1,2015,1156.708513551,$374.5B,,2015
,,2016,$2.2B,,,$374490.0B,2244.154254171,Paid Subscription,Value,1,2016,2244.154254171,$374.5B,,2016
,,2017,$3.5B,,,$374490.0B,3500.549812779,Paid Subscription,Value,1,2017,3500.549812779,$374.5B,,2017
,,2018,$4.7B,,,$374490.0B,4655.968522014,Paid Subscription,Value,1,2018,4655.968522014,$374.5B,,2018
,,2019,$5.9B,,,$374490.0B,5934.397625188,Paid Subscription,Value,1,2019,5934.397625188,$374.5B,,2019
,,2005,,$421.6M,,$374490.0B,421.6,Ringtones & Ringbacks,Value,1,2005,421.6,$374.5B,,2005
,,2006,,$773.8M,,$374490.0B,773.8,Ringtones & Ringbacks,Value,1,2006,773.8,$374.5B,,2006
,,2007,$1.1B,,,$374490.0B,1055.8,Ringtones & Ringbacks,Value,1,2007,1055.8,$374.5B,,2007
,,2008,,$977.1M,,$374490.0B,977.1,Ringtones & Ringbacks,Value,1,2008,977.1,$374.5B,,2008
,,2009,,$702.8M,,$374490.0B,702.8,Ringtones & Ringbacks,Value,1,2009,702.8,$374.5B,,2009
,,2010,,$448.0M,,$374490.0B,448,Ringtones & Ringbacks,Value,1,2010,448,$374.5B,,2010
,,2011,,$276.2M,,$374490.0B,276.2,Ringtones & Ringbacks,Value,1,2011,276.2,$374.5B,,2011
,,2012,,$146.0M,,$374490.0B,145.992935111,Ringtones & Ringbacks,Value,1,2012,145.992935111,$374.5B,,2012
,,2013,,$98.0M,,$374490.0B,97.999612333,Ringtones & Ringbacks,Value,1,2013,97.999612333,$374.5B,,2013
,,2014,,$66.3M,,$374490.0B,66.311370667,Ringtones & Ringbacks,Value,1,2014,66.311370667,$374.5B,,2014
,,2015,,$54.6M,,$374490.0B,54.582024222,Ringtones & Ringbacks,Value,1,2015,54.582024222,$374.5B,,2015
,,2016,,$56.3M,,$374490.0B,56.325299125,Ringtones & Ringbacks,Value,1,2016,56.325299125,$374.5B,,2016
,,2017,,$35.5M,,$374490.0B,35.513735653,Ringtones & Ringbacks,Value,1,2017,35.513735653,$374.5B,,2017
,,2018,,$25.0M,,$374490.0B,24.957859799,Ringtones & Ringbacks,Value,1,2018,24.957859799,$374.5B,,2018
,,2019,,$21.4M,,$374490.0B,21.426736902,Ringtones & Ringbacks,Value,1,2019,21.426736902,$374.5B,,2019
,,2003,,$26.3M,,$374490.0B,26.3,SACD,Value,1,2003,26.3,$374.5B,,2003
,,2004,,$16.6M,,$374490.0B,16.6,SACD,Value,1,2004,16.6,$374.5B,,2004
,,2005,,$10.0M,,$374490.0B,10,SACD,Value,1,2005,10,$374.5B,,2005
,,2006,,$5.5M,,$374490.0B,5.5,SACD,Value,1,2006,5.5,$374.5B,,2006
,,2007,,$3.6M,,$374490.0B,3.6,SACD,Value,1,2007,3.6,$374.5B,,2007
,,2008,,$3.1M,,$374490.0B,3.1,SACD,Value,1,2008,3.1,$374.5B,,2008
,,2009,,$2.4M,,$374490.0B,2.4,SACD,Value,1,2009,2.4,$374.5B,,2009
,,2010,,$1.7M,,$374490.0B,1.7,SACD,Value,1,2010,1.7,$374.5B,,2010
,,2011,,$1.5M,,$374490.0B,1.5,SACD,Value,1,2011,1.5,$374.5B,,2011
,,2012,,$1.3M,,$374490.0B,1.3425,SACD,Value,1,2012,1.3425,$374.5B,,2012
,,2013,,$1.0M,,$374490.0B,0.9783826,SACD,Value,1,2013,0.9783826,$374.5B,,2013
,,2014,,$0.8M,,$374490.0B,0.76344539,SACD,Value,1,2014,0.76344539,$374.5B,,2014
,,2015,,$1.0M,,$374490.0B,1.04346656,SACD,Value,1,2015,1.04346656,$374.5B,,2015
,,2016,,$1.2M,,$374490.0B,1.20686148,SACD,Value,1,2016,1.20686148,$374.5B,,2016
,,2017,,$0.9M,,$374490.0B,0.85057856,SACD,Value,1,2017,0.85057856,$374.5B,,2017
,,2018,,$0.9M,,$374490.0B,0.85969971,SACD,Value,1,2018,0.85969971,$374.5B,,2018
,,2019,,$0.4M,,$374490.0B,0.433302292,SACD,Value,1,2019,0.433302292,$374.5B,,2019
,,2004,,$6.9M,,$374490.0B,6.9,SoundExchange Distributions,Value,1,2004,6.9,$374.5B,,2004
,,2005,,$20.4M,,$374490.0B,20.4,SoundExchange Distributions,Value,1,2005,20.4,$374.5B,,2005
,,2006,,$32.8M,,$374490.0B,32.8,SoundExchange Distributions,Value,1,2006,32.8,$374.5B,,2006
,,2007,,$36.2M,,$374490.0B,36.2,SoundExchange Distributions,Value,1,2007,36.2,$374.5B,,2007
,,2008,,$100.0M,,$374490.0B,100,SoundExchange Distributions,Value,1,2008,100,$374.5B,,2008
,,2009,,$155.5M,,$374490.0B,155.5,SoundExchange Distributions,Value,1,2009,155.5,$374.5B,,2009
,,2010,,$249.2M,,$374490.0B,249.2,SoundExchange Distributions,Value,1,2010,249.2,$374.5B,,2010
,,2011,,$292.0M,,$374490.0B,292,SoundExchange Distributions,Value,1,2011,292,$374.5B,,2011
,,2012,,$462.0M,,$374490.0B,462,SoundExchange Distributions,Value,1,2012,462,$374.5B,,2012
,,2013,,$590.4M,,$374490.0B,590.4,SoundExchange Distributions,Value,1,2013,590.4,$374.5B,,2013
,,2014,,$773.4M,,$374490.0B,773.4,SoundExchange Distributions,Value,1,2014,773.4,$374.5B,,2014
,,2015,,$802.6M,,$374490.0B,802.6,SoundExchange Distributions,Value,1,2015,802.6,$374.5B,,2015
,,2016,,$883.9M,,$374490.0B,883.9,SoundExchange Distributions,Value,1,2016,883.9,$374.5B,,2016
,,2017,,$652.0M,,$374490.0B,652,SoundExchange Distributions,Value,1,2017,652,$374.5B,,2017
,,2018,,$952.8M,,$374490.0B,952.8,SoundExchange Distributions,Value,1,2018,952.8,$374.5B,,2018
,,2019,,$908.2M,,$374490.0B,908.2,SoundExchange Distributions,Value,1,2019,908.2,$374.5B,,2019
,,2009,,$201.2M,,$374490.0B,201.2,Synchronization,Value,1,2009,201.2,$374.5B,,2009
,,2010,,$188.7M,,$374490.0B,188.7,Synchronization,Value,1,2010,188.7,$374.5B,,2010
,,2011,,$196.5M,,$374490.0B,196.5,Synchronization,Value,1,2011,196.5,$374.5B,,2011
,,2012,,$190.6M,,$374490.0B,190.597753,Synchronization,Value,1,2012,190.597753,$374.5B,,2012
,,2013,,$189.7M,,$374490.0B,189.679434,Synchronization,Value,1,2013,189.679434,$374.5B,,2013
,,2014,,$189.7M,,$374490.0B,189.713099,Synchronization,Value,1,2014,189.713099,$374.5B,,2014
,,2015,,$202.9M,,$374490.0B,202.934888,Synchronization,Value,1,2015,202.934888,$374.5B,,2015
,,2016,,$214.8M,,$374490.0B,214.83897654,Synchronization,Value,1,2016,214.83897654,$374.5B,,2016
,,2017,,$232.1M,,$374490.0B,232.086522899,Synchronization,Value,1,2017,232.086522899,$374.5B,,2017
,,2018,,$285.5M,,$374490.0B,285.513491340,Synchronization,Value,1,2018,285.513491340,$374.5B,,2018
,,2019,,$276.3M,,$374490.0B,276.262360199,Synchronization,Value,1,2019,276.262360199,$374.5B,,2019
,,1973,,$190.0M,,$374490.0B,190,Vinyl Single,Value,1,1973,190,$374.5B,,1973
,,1974,,$194.0M,,$374490.0B,194,Vinyl Single,Value,1,1974,194,$374.5B,,1974
,,1975,,$211.5M,,$374490.0B,211.5,Vinyl Single,Value,1,1975,211.5,$374.5B,,1975
,,1976,,$245.1M,,$374490.0B,245.1,Vinyl Single,Value,1,1976,245.1,$374.5B,,1976
,,1977,,$245.1M,,$374490.0B,245.1,Vinyl Single,Value,1,1977,245.1,$374.5B,,1977
,,1978,,$260.3M,,$374490.0B,260.3,Vinyl Single,Value,1,1978,260.3,$374.5B,,1978
,,1979,,$353.6M,,$374490.0B,353.6,Vinyl Single,Value,1,1979,353.6,$374.5B,,1979
,,1980,,$250.0M,,$374490.0B,250,Vinyl Single,Value,1,1980,250,$374.5B,,1980
,,1981,,$256.4M,,$374490.0B,256.4,Vinyl Single,Value,1,1981,256.4,$374.5B,,1981
,,1982,,$283.0M,,$374490.0B,283,Vinyl Single,Value,1,1982,283,$374.5B,,1982
,,1983,,$269.3M,,$374490.0B,269.3,Vinyl Single,Value,1,1983,269.3,$374.5B,,1983
,,1984,,$298.7M,,$374490.0B,298.7,Vinyl Single,Value,1,1984,298.7,$374.5B,,1984
,,1985,,$281.0M,,$374490.0B,281,Vinyl Single,Value,1,1985,281,$374.5B,,1985
,,1986,,$228.1M,,$374490.0B,228.1,Vinyl Single,Value,1,1986,228.1,$374.5B,,1986
,,1987,,$203.3M,,$374490.0B,203.3,Vinyl Single,Value,1,1987,203.3,$374.5B,,1987
,,1988,,$180.4M,,$374490.0B,180.4,Vinyl Single,Value,1,1988,180.4,$374.5B,,1988
,,1989,,$116.4M,,$374490.0B,116.4,Vinyl Single,Value,1,1989,116.4,$374.5B,,1989
,,1990,,$94.4M,,$374490.0B,94.4,Vinyl Single,Value,1,1990,94.4,$374.5B,,1990
,,1991,,$63.9M,,$374490.0B,63.9,Vinyl Single,Value,1,1991,63.9,$374.5B,,1991
,,1992,,$66.4M,,$374490.0B,66.4,Vinyl Single,Value,1,1992,66.4,$374.5B,,1992
,,1993,,$51.2M,,$374490.0B,51.2,Vinyl Single,Value,1,1993,51.2,$374.5B,,1993
,,1994,,$47.2M,,$374490.0B,47.2,Vinyl Single,Value,1,1994,47.2,$374.5B,,1994
,,1995,,$46.7M,,$374490.0B,46.7,Vinyl Single,Value,1,1995,46.7,$374.5B,,1995
,,1996,,$47.5M,,$374490.0B,47.5,Vinyl Single,Value,1,1996,47.5,$374.5B,,1996
,,1997,,$35.6M,,$374490.0B,35.6,Vinyl Single,Value,1,1997,35.6,$374.5B,,1997
,,1998,,$25.7M,,$374490.0B,25.7,Vinyl Single,Value,1,1998,25.7,$374.5B,,1998
,,1999,,$27.9M,,$374490.0B,27.9,Vinyl Single,Value,1,1999,27.9,$374.5B,,1999
,,2000,,$26.3M,,$374490.0B,26.3,Vinyl Single,Value,1,2000,26.3,$374.5B,,2000
,,2001,,$31.4M,,$374490.0B,31.4,Vinyl Single,Value,1,2001,31.4,$374.5B,,2001
,,2002,,$24.9M,,$374490.0B,24.9,Vinyl Single,Value,1,2002,24.9,$374.5B,,2002
,,2003,,$21.5M,,$374490.0B,21.5,Vinyl Single,Value,1,2003,21.5,$374.5B,,2003
,,2004,,$19.9M,,$374490.0B,19.9,Vinyl Single,Value,1,2004,19.9,$374.5B,,2004
,,2005,,$13.2M,,$374490.0B,13.2,Vinyl Single,Value,1,2005,13.2,$374.5B,,2005
,,2006,,$9.9M,,$374490.0B,9.9,Vinyl Single,Value,1,2006,9.9,$374.5B,,2006
,,2007,,$4.0M,,$374490.0B,4,Vinyl Single,Value,1,2007,4,$374.5B,,2007
,,2008,,$2.9M,,$374490.0B,2.9,Vinyl Single,Value,1,2008,2.9,$374.5B,,2008
,,2009,,$2.5M,,$374490.0B,2.5,Vinyl Single,Value,1,2009,2.5,$374.5B,,2009
,,2010,,$2.3M,,$374490.0B,2.3,Vinyl Single,Value,1,2010,2.3,$374.5B,,2010
,,2011,,$4.6M,,$374490.0B,4.6,Vinyl Single,Value,1,2011,4.6,$374.5B,,2011
,,2012,,$4.7M,,$374490.0B,4.743055893,Vinyl Single,Value,1,2012,4.743055893,$374.5B,,2012
,,2013,,$3.0M,,$374490.0B,2.978937179,Vinyl Single,Value,1,2013,2.978937179,$374.5B,,2013
,,2014,,$5.5M,,$374490.0B,5.499354290,Vinyl Single,Value,1,2014,5.499354290,$374.5B,,2014
,,2015,,$5.8M,,$374490.0B,5.752954082,Vinyl Single,Value,1,2015,5.752954082,$374.5B,,2015
,,2016,,$4.9M,,$374490.0B,4.880679689,Vinyl Single,Value,1,2016,4.880679689,$374.5B,,2016
,,2017,,$6.1M,,$374490.0B,6.078385350,Vinyl Single,Value,1,2017,6.078385350,$374.5B,,2017
,,2018,,$5.3M,,$374490.0B,5.290337079,Vinyl Single,Value,1,2018,5.290337079,$374.5B,,2018
,,2019,,$6.8M,,$374490.0B,6.795945687,Vinyl Single,Value,1,2019,6.795945687,$374.5B,,2019
